Country,Continent,HDI,Happiness,GDP_pc,Life_exp,Pop(m)
Palestinian Territories,ME,HIGH,4.743,2900,73.1,4.5
Panama,AMER,V_HIGH,6.43,16040.894,77.8,4.314
Paraguay,AMER,HIGH,5.681,4578.328,74,7.132
Peru,AMER,HIGH,5.663,7198.64,75.5,32.971
Philippines,ASIAP,HIGH,5.524,3095.117,68.5,109.581
Poland,EUR,V_HIGH,6.123,16179.549,77.5,37.846
Portugal,EUR,V_HIGH,5.41,24236.542,81.1,10.196
Qatar,ME,V_HIGH,6.374,66202.094,78.2,2.881
Republic of the Congo,AFR,LOW,4.559,2349.676,64.7,5.518
Romania,EUR,V_HIGH,5.945,12575.439,75,19.237
Russia,EUR,V_HIGH,5.81,11946.653,70.5,145.934
Rwanda,AFR,LOW,3.408,819.652,66.1,12.952
Saudi Arabia,ME,V_HIGH,6.371,22649.613,74.5,34.813
Senegal,AFR,LOW,4.631,1208.518,66.7,16.743
Serbia,EUR,V_HIGH,5.398,6895.017,75.6,8.737
Sierra Leone,AFR,LOW,4.571,505.101,50.1,7.976
Singapore,ASIAP,V_HIGH,6.343,61766.818,83.1,5.85
Slovakia,EUR,V_HIGH,6.173,20508.065,76.7,5.459
Slovenia,EUR,V_HIGH,5.948,27535.862,80.8,2.078
Somalia,AFR,LOW,4.982,600,55,15.893
South Africa,AFR,HIGH,4.724,6459.171,62.9,59.308
South Korea,ASIAP,V_HIGH,5.875,32774.537,82.3,51.269
South Sudan,AFR,LOW,3.254,246.164,57.3,11.193
Spain,EUR,V_HIGH,6.31,32559.297,82.8,46.754
Sri Lanka,ASIAP,HIGH,4.471,4309.09,74.9,21.413
Sudan,AFR,LOW,4.139,992.652,64.1,43.849
Sweden,EUR,V_HIGH,7.314,58345.457,82.4,10.099
Switzerland,EUR,V_HIGH,7.487,86835.128,83.4,8.654
Syria,ME,MEDIUM,3.462,2802,64.5,17.5
Taiwan ,ASIAP,V_HIGH,6.441,25977.238,77.9,23.816
Tajikistan,ASIAP,MEDIUM,5.352,848.958,69.7,9.537
Tanzania,AFR,LOW,3.303,1110.05,61.8,59.734
Thailand,ASIAP,HIGH,6.072,6992.229,74.9,69.799
Togo,AFR,LOW,3.999,698.682,59.9,8.278
Trinidad & Tobago,AMER,HIGH,6.192,16083.436,71.2,1.399
Tunisia,AFR,HIGH,4.592,3462.822,75.3,11.818
Turkey,EUR,V_HIGH,5.483,11114.258,75.8,84.339
Turkmenistan,ASIAP,HIGH,5.636,7340.72,66.3,6.031
Uganda,AFR,LOW,4.161,711.338,62.3,45.741
Ukraine,EUR,HIGH,4.103,2820.606,71.3,43.733
United Arab Emirates,ME,V_HIGH,6.774,39483.545,77.1,9.9
United Kingdom,EUR,V_HIGH,6.814,44177.497,81.2,9.89
United States,AMER,V_HIGH,6.886,62152.073,79.3,331.002
Uruguay,AMER,V_HIGH,6.379,18074.859,77,3.473
Uzbekistan,ASIAP,HIGH,6.096,1238.215,69.4,33.469
Venezuela,AMER,HIGH,4.806,3168.413,74.1,28.435
Vietnam,ASIAP,HIGH,5.103,2545.909,76,87.338
Yemen,AFR,LOW,3.355,449.115,65.7,29.825
Zambia,AFR,MEDIUM,4.377,1475.733,61.8,18.383
Zimbabwe,AFR,MEDIUM,3.692,1270.724,60.7,14.862
