Country,Continent,Happiness,GDP_pc,Life_exp,Pop(m)
Mali,AFR,4.447,917.479,58.2,20.25
Malta,EUR,6.627,31847.59,81.7,0.441
Mauritania,AFR,4.356,1368.99,63.1,4.649
Mauritius,ASIAP,5.891,10437.074,74.6,1.271
Mexico,AMER,6.488,9723.043,76.7,128.932
Moldova,EUR,5.64,2596.435,72.1,4.033
Mongolia,ASIAP,5.125,4029.339,68.8,3.278
Montenegro,EUR,5.347,8898.152,76.1,0.628
Morocco,AFR,5.254,3435.475,74.3,36.91
Mozambique,AFR,4.417,472.044,57.6,31.255
Myanmar,ASIAP,4.308,1338.488,66.6,54.409
Namibia,AFR,4.441,5627.102,65.8,2.54
Nepal,ASIAP,4.88,918.986,69.2,0.01
Netherlands,EUR,7.441,55185.49,81.9,17.134
New Zealand,ASIAP,7.324,44639.124,81.6,4.822
Nicaragua,AMER,6.141,2309.74,74.8,6.624
Niger,AFR,4.166,510.323,61.8,24.206
Nigeria,AFR,5.155,2107.61,54.5,206.139
Northern Cyprus,EUR,5.835,15109,74.1,0.326
Norway,EUR,7.594,82710.715,81.8,5.421
Pakistan,ASIAP,5.472,1629,66.4,220.892
Palestinian Territories,ME,4.743,2900,73.1,4.5
Panama,AMER,6.43,16040.894,77.8,4.314
Paraguay,AMER,5.681,4578.328,74,7.132
Peru,AMER,5.663,7198.64,75.5,32.971
Philippines,ASIAP,5.524,3095.117,68.5,109.581
Poland,EUR,6.123,16179.549,77.5,37.846
Portugal,EUR,5.41,24236.542,81.1,10.196
Qatar,ME,6.374,66202.094,78.2,2.881
Romania,EUR,5.945,12575.439,75,19.237
Russia,EUR,5.81,11946.653,70.5,145.934
Rwanda,AFR,3.408,819.652,66.1,12.952
Saudi Arabia,ME,6.371,22649.613,74.5,34.813
Senegal,AFR,4.631,1208.518,66.7,16.743
Serbia,EUR,5.398,6895.017,75.6,8.737
Sierra Leone,AFR,4.571,505.101,50.1,7.976
Singapore,ASIAP,6.343,61766.818,83.1,5.85
Slovakia,EUR,6.173,20508.065,76.7,5.459
Slovenia,EUR,5.948,27535.862,80.8,2.078
Somalia,AFR,4.982,600,55,15.893
South Africa,AFR,4.724,6459.171,62.9,59.308
South Korea,ASIAP,5.875,32774.537,82.3,51.269
South Sudan,AFR,3.254,246.164,57.3,11.193
Spain,EUR,6.31,32559.297,82.8,46.754
Sri Lanka,ASIAP,4.471,4309.09,74.9,21.413
Sudan,AFR,4.139,992.652,64.1,43.849
Sweden,EUR,7.314,58345.457,82.4,10.099
Switzerland,EUR,7.487,86835.128,83.4,8.654
Syria,ME,3.462,2802,64.5,17.5
Taiwan ,ASIAP,6.441,25977.238,77.9,23.816
Tajikistan,ASIAP,5.352,848.958,69.7,9.537
Tanzania,AFR,3.303,1110.05,61.8,59.734
Thailand,ASIAP,6.072,6992.229,74.9,69.799
Togo,AFR,3.999,698.682,59.9,8.278
Trinidad & Tobago,AMER,6.192,16083.436,71.2,1.399
Tunisia,AFR,4.592,3462.822,75.3,11.818
Turkey,EUR,5.483,11114.258,75.8,84.339
Turkmenistan,ASIAP,5.636,7340.72,66.3,6.031
Uganda,AFR,4.161,711.338,62.3,45.741
