Country,Continent_string,Continent,HDI_string,HDI,Happiness,GDP_pc,Life_exp,Pop,Regime
Hong Kong,ASIAP,2,V_HIGH,3,5.43,48829.217,84.3,7.496,Hybrid
Hungary,EUR,3,V_HIGH,3,5.62,16722.598,75.9,9.66,Flawed
Iceland,EUR,3,V_HIGH,3,7.495,84675.408,82.7,0.341,Full
India,ASIAP,2,MEDIUM,1,4.19,2134.752,68.3,1380.004,Flawed
Indonesia,ASIAP,2,HIGH,2,5.093,4051.65,69.1,273.523,Flawed
Iran,ME,4,HIGH,2,4.707,5085.909,75.5,83.992,Authoritarian
Iraq,ME,4,MEDIUM,1,4.456,5601.469,68.9,40.222,Authoritarian
Ireland,EUR,3,V_HIGH,3,6.977,80641.171,81.4,4.937,Full
Israel,ME,4,V_HIGH,3,7.19,42115.329,82.5,8.655,Flawed
Italy,EUR,3,V_HIGH,3,6,35913.826,82.7,60.461,Flawed
Ivory Coast,AFR,0,LOW,0,4.671,1879.904,53.5,26.38,Hybrid
Jamaica,AMER,1,HIGH,2,5.89,5334.535,76.2,2.961,Flawed
Japan,ASIAP,2,V_HIGH,3,5.915,40849.21,83.7,126.476,Full
Jordan,ME,4,HIGH,2,5.161,5837.503,74.1,10.203,Authoritarian
Kazakhstan,ASIAP,2,V_HIGH,3,5.79,9708.82,70.2,18.776,Authoritarian
Kenya,AFR,0,MEDIUM,1,4.41,1837.71,63.4,53.771,Hybrid
Kuwait,ME,4,V_HIGH,3,6.083,29879.781,74.7,4.27,Authoritarian
Kyrgyzstan,ASIAP,2,MEDIUM,1,5.131,1187.714,71.1,6.524,Authoritarian
Laos,ASIAP,2,MEDIUM,1,4.623,2705.899,65.7,7.275,Authoritarian
Latvia,EUR,3,V_HIGH,3,5.933,18472.193,74.6,1.886,Flawed
Lebanon,ME,4,HIGH,2,5.199,11775.155,74.9,6.825,Authoritarian
Lesotho,AFR,0,LOW,0,3.808,1499.096,53.7,2.142,Flawed
Liberia,AFR,0,LOW,0,3.495,722.263,61.4,5.507,Hybrid
Libya,AFR,0,HIGH,2,5.566,6699.897,72.7,6.871,Authoritarian
Lithuania,EUR,3,V_HIGH,3,5.952,19534.021,73.6,2.722,Flawed
Luxembourg,EUR,3,V_HIGH,3,6.91,120060.558,82,0.625,Full
Macedonia,EUR,3,HIGH,2,5.185,6295.11,75.7,2.083,Flawed
Madagascar,AFR,0,LOW,0,3.774,479.047,65.5,27.691,Hybrid
Malawi,AFR,0,LOW,0,3.587,342.061,58.3,19.129,Hybrid
Malaysia,ASIAP,2,V_HIGH,3,6.322,11237.421,75,32.365,Flawed
Mali,AFR,0,LOW,0,4.447,917.479,58.2,20.25,Authoritarian
Malta,EUR,3,V_HIGH,3,6.627,31847.59,81.7,0.441,Flawed
Mauritania,AFR,0,LOW,0,4.356,1368.99,63.1,4.649,Hybrid
Mauritius,ASIAP,2,V_HIGH,3,5.891,10437.074,74.6,1.271,Full
Mexico,AMER,1,HIGH,2,6.488,9723.043,76.7,128.932,Hybrid
Moldova,EUR,3,HIGH,2,5.64,2596.435,72.1,4.033,Flawed
Mongolia,ASIAP,2,HIGH,2,5.125,4029.339,68.8,3.278,Flawed
Montenegro,EUR,3,V_HIGH,3,5.347,8898.152,76.1,0.628,Flawed
Morocco,AFR,0,MEDIUM,1,5.254,3435.475,74.3,36.91,Hybrid
Mozambique,AFR,0,LOW,0,4.417,472.044,57.6,31.255,Authoritarian
Myanmar,ASIAP,2,MEDIUM,1,4.308,1338.488,66.6,54.409,Authoritarian
Namibia,AFR,0,MEDIUM,1,4.441,5627.102,65.8,2.54,Flawed
Nepal,ASIAP,2,MEDIUM,1,4.88,918.986,69.2,30.03,Hybrid
Netherlands,EUR,3,V_HIGH,3,7.441,55185.49,81.9,17.134,Full
New Zealand,ASIAP,2,V_HIGH,3,7.324,44639.124,81.6,4.822,Full
Nicaragua,AMER,1,MEDIUM,1,6.141,2309.74,74.8,6.624,Authoritarian
Niger,AFR,0,LOW,0,4.166,510.323,61.8,24.206,Authoritarian
Nigeria,AFR,0,LOW,0,5.155,2107.61,54.5,206.139,Hybrid
Northern Cyprus,EUR,3,V_HIGH,3,5.835,15109,74.1,0.326,Flawed
Norway,EUR,3,V_HIGH,3,7.594,82710.715,81.8,5.421,Full
Pakistan,ASIAP,2,MEDIUM,1,5.472,1629,66.4,220.892,Hybrid
Palestinian Territories,ME,4,HIGH,2,4.743,2900,73.1,4.5,Authoritarian
