Country,Continent,HDI,Happiness,GDP_pc,Life_exp,Pop,Regime,Democracy
Brazil,AMER,HIGH,6.419,10224.028,75,212.559,Flawed,1
Bulgaria,EUR,V_HIGH,4.933,9226.602,74.5,6.948,Flawed,1
Chile,AMER,V_HIGH,6.476,15087.311,80.5,19.116,Flawed,1
Colombia,AMER,HIGH,6.26,6581.387,74.8,50.882,Flawed,1
Croatia,EUR,V_HIGH,5.321,14788.357,78,4.105,Flawed,1
Cyprus,EUR,V_HIGH,5.762,28682.363,80.5,1.207,Flawed,1
Czech Republic,EUR,V_HIGH,6.711,23749.531,78.8,10.708,Flawed,1
Dominican Republic,AMER,HIGH,5.302,7830.202,73.9,10.847,Flawed,1
Estonia,EUR,V_HIGH,5.739,23610.453,77.6,1.326,Flawed,1
France,EUR,V_HIGH,6.489,44933.907,82.4,65.273,Flawed,1
Ghana,AFR,MEDIUM,4.657,1779.893,62.4,31.072,Flawed,1
Greece,EUR,V_HIGH,5.358,21144.184,81,10.423,Flawed,1
Hungary,EUR,V_HIGH,5.62,16722.598,75.9,9.66,Flawed,1
India,ASIAP,MEDIUM,4.19,2134.752,68.3,1380.004,Flawed,1
Indonesia,ASIAP,HIGH,5.093,4051.65,69.1,273.523,Flawed,1
Israel,ME,V_HIGH,7.19,42115.329,82.5,8.655,Flawed,1
Italy,EUR,V_HIGH,6,35913.826,82.7,60.461,Flawed,1
Jamaica,AMER,HIGH,5.89,5334.535,76.2,2.961,Flawed,1
Latvia,EUR,V_HIGH,5.933,18472.193,74.6,1.886,Flawed,1
Lesotho,AFR,LOW,3.808,1499.096,53.7,2.142,Flawed,1
Lithuania,EUR,V_HIGH,5.952,19534.021,73.6,2.722,Flawed,1
Macedonia,EUR,HIGH,5.185,6295.11,75.7,2.083,Flawed,1
Malaysia,ASIAP,V_HIGH,6.322,11237.421,75,32.365,Flawed,1
Malta,EUR,V_HIGH,6.627,31847.59,81.7,0.441,Flawed,1
Moldova,EUR,HIGH,5.64,2596.435,72.1,4.033,Flawed,1
Mongolia,ASIAP,HIGH,5.125,4029.339,68.8,3.278,Flawed,1
Montenegro,EUR,V_HIGH,5.347,8898.152,76.1,0.628,Flawed,1
Namibia,AFR,MEDIUM,4.441,5627.102,65.8,2.54,Flawed,1
Northern Cyprus,EUR,V_HIGH,5.835,15109,74.1,0.326,Flawed,1
Panama,AMER,V_HIGH,6.43,16040.894,77.8,4.314,Flawed,1
Peru,AMER,HIGH,5.663,7198.64,75.5,32.971,Flawed,1
Philippines,ASIAP,HIGH,5.524,3095.117,68.5,109.581,Flawed,1
Poland,EUR,V_HIGH,6.123,16179.549,77.5,37.846,Flawed,1
Portugal,EUR,V_HIGH,5.41,24236.542,81.1,10.196,Flawed,1
Romania,EUR,V_HIGH,5.945,12575.439,75,19.237,Flawed,1
Serbia,EUR,V_HIGH,5.398,6895.017,75.6,8.737,Flawed,1
Singapore,ASIAP,V_HIGH,6.343,61766.818,83.1,5.85,Flawed,1
Slovakia,EUR,V_HIGH,6.173,20508.065,76.7,5.459,Flawed,1
Slovenia,EUR,V_HIGH,5.948,27535.862,80.8,2.078,Flawed,1
South Africa,AFR,HIGH,4.724,6459.171,62.9,59.308,Flawed,1
Spain,EUR,V_HIGH,6.31,32559.297,82.8,46.754,Flawed,1
Sri Lanka,ASIAP,HIGH,4.471,4309.09,74.9,21.413,Flawed,1
Thailand,ASIAP,HIGH,6.072,6992.229,74.9,69.799,Flawed,1
Trinidad & Tobago,AMER,HIGH,6.192,16083.436,71.2,1.399,Flawed,1
United States,AMER,V_HIGH,6.886,62152.073,79.3,331.002,Flawed,1
Australia,ASIAP,V_HIGH,7.272,59655.413,82.8,25.499,Full,1
Austria,EUR,V_HIGH,7.139,53764.128,81.5,9.006,Full,1
Canada,AMER,V_HIGH,7.328,48466.329,82.2,37.742,Full,1
Costa Rica,AMER,V_HIGH,7.072,12188.707,79.6,5.094,Full,1
Denmark,EUR,V_HIGH,7.555,63829.704,80.6,5.792,Full,1
Finland,EUR,V_HIGH,7.632,52422.304,81.1,5.54,Full,1
Germany,EUR,V_HIGH,6.965,50841.666,81,83.783,Full,1
Iceland,EUR,V_HIGH,7.495,84675.408,82.7,0.341,Full,1
Ireland,EUR,V_HIGH,6.977,80641.171,81.4,4.937,Full,1
Japan,ASIAP,V_HIGH,5.915,40849.21,83.7,126.476,Full,1
Luxembourg,EUR,V_HIGH,6.91,120060.558,82,0.625,Full,1
Mauritius,ASIAP,V_HIGH,5.891,10437.074,74.6,1.271,Full,1
Netherlands,EUR,V_HIGH,7.441,55185.49,81.9,17.134,Full,1
New Zealand,ASIAP,V_HIGH,7.324,44639.124,81.6,4.822,Full,1
Norway,EUR,V_HIGH,7.594,82710.715,81.8,5.421,Full,1
South Korea,ASIAP,V_HIGH,5.875,32774.537,82.3,51.269,Full,1
Sweden,EUR,V_HIGH,7.314,58345.457,82.4,10.099,Full,1
Switzerland,EUR,V_HIGH,7.487,86835.128,83.4,8.654,Full,1
Taiwan ,ASIAP,V_HIGH,6.441,25977.238,77.9,23.816,Full,1
United Kingdom,EUR,V_HIGH,6.814,44177.497,81.2,9.89,Full,1
Uruguay,AMER,V_HIGH,6.379,18074.859,77,3.473,Full,1
Armenia,EUR,HIGH,4.321,4022.1,74.8,2.963,Hybrid,0
Bangladesh,ASIAP,MEDIUM,4.5,1733.513,71.8,164.689,Hybrid,0
Benin,AFR,LOW,4.141,966.363,60,12.123,Hybrid,0
Bhutan,ASIAP,MEDIUM,5.082,3117.847,69.8,0.771,Hybrid,0
Bolivia,AMER,HIGH,5.752,3621.795,70.7,11.673,Hybrid,0
