Filename,Segment,Analytic,Clout,Authentic,Tone,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
20071214 Conflict.docx,1,29.41,87.19,38.81,60.41,60.30,20.12,11.01,2.68,1.67,3.84,1.29,1.53,9.09,7.05,11.83,10.12,7.15,8.02,1.98,18.44,4.22,1.74,3.75,1.15,2.66,6.41,4.11,2.28,0.14,0.86,0.17,14.28,0.37,0.18,0.43,1.51,13.17,2.42,2.36,1.50,3.23,1.63,3.72,3.55,1.50,1.12,0.75,2.17,0.58,0.96,0.03,0.54,7.64,2.69,1.10,2.41,1.18,0.76,4.82,12.70,1.04,13.27,1.77,6.11,5.62,1.51,0.53,0.19,0.40,1.01,0.22,0.68,0.06,0.02,0.24,0.32,0.03,3.71,0.05,0.00,0.00,0.00,0.00,0.00,0.17,0.00,3.48,0.00,0.01
20071230 The secret.docx,1,39.77,79.11,43.87,87.11,58.54,17.67,9.65,2.80,1.84,3.00,1.12,0.89,7.97,6.59,12.64,9.50,6.99,8.16,1.48,18.14,5.35,2.54,3.45,1.67,2.45,6.45,4.96,1.40,0.15,0.38,0.21,11.86,0.40,0.20,0.56,1.04,13.66,2.44,2.15,2.11,2.97,1.42,4.31,1.73,0.80,0.60,0.26,2.01,0.47,1.23,0.01,0.26,8.86,2.85,1.05,2.86,2.21,0.50,4.51,11.98,0.99,13.76,1.62,7.29,4.93,1.67,0.59,0.91,1.69,0.65,0.12,0.34,0.01,0.01,0.11,0.20,0.00,8.64,3.22,2.70,0.00,0.29,0.41,0.00,0.04,0.03,1.95,0.00,0.00
20080314 No complaints.docx,1,28.01,84.71,52.08,28.24,57.73,19.75,11.13,3.51,1.32,3.60,1.53,1.17,8.61,6.19,11.62,10.86,8.04,5.78,2.48,20.09,4.77,2.15,3.40,1.30,2.82,6.58,3.32,3.18,0.12,0.54,0.51,14.76,0.74,0.16,1.08,1.43,13.36,2.98,2.24,1.54,2.95,1.53,3.41,2.59,1.21,0.83,0.35,1.70,0.50,0.90,0.02,0.28,8.05,2.50,1.45,1.92,1.64,0.96,5.50,13.00,0.88,14.47,2.01,6.57,6.05,1.32,0.76,0.14,0.38,0.68,0.20,0.97,0.03,0.24,0.36,0.34,0.02,17.67,7.91,5.18,0.00,0.00,0.83,0.01,0.00,0.00,3.74,0.00,0.00
20080403 The power of mindfulness and compassion.docx,1,25.17,88.80,44.22,44.82,60.04,18.86,10.00,1.55,2.09,4.27,1.03,1.06,8.83,6.35,11.53,10.66,8.15,8.85,1.66,19.10,4.91,2.27,3.35,1.05,3.26,5.46,3.22,2.18,0.47,0.67,0.42,12.59,0.25,0.17,0.40,0.98,13.80,3.16,2.74,1.25,3.14,1.46,3.56,2.25,1.14,0.68,0.36,1.43,0.47,0.76,0.01,0.15,8.26,2.95,1.54,2.04,1.73,0.60,3.66,14.38,0.98,14.14,2.17,5.96,6.17,1.84,1.30,0.17,0.32,0.99,0.07,0.45,0.02,0.06,0.14,0.20,0.03,3.31,0.06,0.00,0.00,0.00,0.00,0.00,0.11,0.00,3.12,0.00,0.02
20080418 Expanding your views.docx,1,20.17,87.20,46.12,20.60,60.35,20.37,11.06,2.21,1.71,3.89,1.31,1.96,9.29,5.80,11.30,9.87,8.07,9.12,2.32,19.09,4.83,2.29,3.75,1.25,2.90,6.47,3.06,3.40,0.33,0.77,0.97,14.48,0.30,0.27,0.20,1.73,15.14,3.69,2.84,1.27,3.54,1.38,4.18,5.45,3.22,0.84,0.75,2.56,0.60,1.14,0.07,0.49,6.99,2.42,0.98,1.96,1.24,0.72,4.50,13.31,0.90,12.91,2.27,6.09,4.65,0.91,0.51,0.17,0.11,0.55,0.76,0.34,0.01,0.01,0.08,0.19,0.05,3.77,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00,3.63,0.00,0.00
20080502 Peace is the highest happiness.docx,1,20.61,87.40,63.10,59.17,60.83,19.97,11.08,2.57,1.10,5.95,0.27,1.19,8.86,6.19,11.82,10.95,8.37,8.75,2.41,20.31,4.69,2.16,4.00,0.75,2.59,7.77,4.75,2.99,0.34,0.33,1.14,13.42,0.19,0.10,0.12,0.31,15.33,3.78,2.73,1.53,3.04,2.15,3.97,2.45,0.63,1.04,0.70,2.39,0.41,1.65,0.03,0.11,8.25,2.00,2.08,2.45,1.65,1.49,3.11,15.56,1.19,14.47,2.15,6.78,5.65,1.55,0.84,0.23,0.28,1.02,0.26,0.77,0.06,0.03,0.36,0.27,0.04,4.17,0.02,0.00,0.00,0.00,0.00,0.00,0.11,0.00,4.04,0.00,0.00
20080509 Decisions decisions decisions.docx,1,21.81,76.66,60.46,38.16,61.65,20.32,11.29,3.31,1.42,4.43,0.91,1.22,9.01,6.68,12.15,10.44,7.98,9.38,2.55,20.34,4.42,2.30,3.56,1.04,2.16,5.87,3.23,2.53,0.57,0.60,0.25,11.98,0.16,0.19,0.38,0.88,17.38,4.46,3.67,1.74,3.54,1.61,4.64,1.89,0.91,0.59,0.26,1.58,0.52,0.87,0.03,0.19,7.47,1.90,1.28,2.43,1.77,0.83,4.64,13.91,1.33,12.82,2.35,5.72,4.99,1.43,0.59,0.15,0.61,0.83,0.20,0.66,0.05,0.00,0.20,0.34,0.08,4.59,0.01,0.00,0.01,0.00,0.00,0.00,0.44,0.00,4.12,0.00,0.00
20080606 Meditation kamma.docx,1,24.96,86.68,37.45,70.21,60.01,19.19,10.59,2.14,1.44,4.35,1.92,0.74,8.61,5.52,12.72,11.30,7.91,8.35,1.91,19.87,4.09,1.54,3.50,1.02,2.29,6.36,4.28,1.92,0.16,0.50,0.41,13.19,0.16,0.18,1.11,1.24,14.14,2.51,3.07,1.22,3.57,1.76,3.82,2.08,0.66,0.93,0.32,1.43,0.48,0.60,0.04,0.25,8.15,2.13,1.59,2.54,1.70,0.66,4.61,13.73,1.16,13.74,2.10,6.23,5.63,2.24,0.96,0.33,0.33,2.08,0.33,0.68,0.00,0.06,0.20,0.38,0.04,3.82,0.00,0.00,0.01,0.00,0.00,0.00,0.21,0.00,3.60,0.00,0.00
20081017 How to be positive.docx,1,33.45,78.22,49.83,65.31,60.17,18.62,10.04,2.52,1.14,3.69,1.27,1.42,8.58,6.50,13.23,9.42,7.84,8.83,1.94,18.87,4.90,2.55,3.32,0.98,3.10,5.70,3.87,1.79,0.08,0.51,0.50,11.37,0.04,0.20,0.46,0.89,12.57,2.57,1.72,1.23,3.14,1.71,3.74,4.12,2.66,0.59,0.41,3.05,0.54,1.54,0.08,1.06,6.30,1.63,0.85,1.71,1.84,0.60,4.76,12.06,0.92,14.65,2.93,6.33,6.01,1.40,0.83,0.18,0.26,1.33,0.39,0.47,0.20,0.00,0.08,0.16,0.04,19.31,6.29,7.27,0.05,0.05,0.38,0.07,0.88,0.88,3.44,0.00,0.00
20081114 Harmony.docx,1,27.83,87.32,45.33,68.62,61.15,19.84,11.57,3.07,1.91,3.30,2.02,1.26,8.25,6.79,12.13,9.78,7.61,8.91,1.97,18.06,4.57,2.31,3.06,1.28,2.26,6.78,4.52,2.25,0.16,0.68,0.34,15.19,0.81,0.18,1.67,1.14,12.61,2.69,1.80,1.43,2.89,1.26,3.91,2.54,0.87,1.13,0.36,1.43,0.34,0.85,0.05,0.15,8.66,3.44,1.25,2.51,1.37,0.72,5.50,11.28,0.90,14.07,2.44,7.03,4.86,1.31,0.42,0.42,0.48,1.26,0.27,0.55,0.03,0.08,0.13,0.30,0.01,3.41,0.01,0.00,0.01,0.00,0.00,0.00,0.20,0.00,3.19,0.00,0.00
20081121 The attitude of fearlessness.docx,1,21.50,87.47,45.58,23.88,59.59,20.04,11.62,2.54,1.55,5.72,0.93,0.87,8.41,5.84,11.58,11.67,7.26,8.00,2.44,20.37,4.50,1.68,3.55,1.57,2.28,7.46,3.66,3.78,2.20,0.58,0.24,13.02,0.11,0.11,0.26,0.88,13.34,2.54,3.00,1.33,2.75,1.56,3.75,2.54,0.90,0.88,0.44,2.22,0.61,1.21,0.03,0.43,7.15,2.24,0.87,2.39,1.38,0.72,4.77,14.23,1.22,13.76,2.49,6.21,5.26,1.55,0.81,0.28,0.66,1.09,0.64,0.85,0.08,0.27,0.22,0.22,0.08,21.79,5.06,9.56,0.00,0.00,0.67,0.00,0.15,1.79,4.49,0.00,0.08
