Filename,Segment,Analytic,Clout,Authentic,Tone,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
20101029 Coffins and living.docx,1,22.34,86.03,53.13,49.70,61.22,20.27,11.98,2.97,1.53,4.41,1.57,1.51,8.25,6.57,11.82,10.12,7.94,9.36,2.30,19.96,4.29,1.88,2.59,1.17,2.55,4.77,3.02,1.73,0.34,0.17,0.42,13.71,0.47,0.20,0.38,1.72,13.24,2.86,2.03,1.32,2.83,1.96,3.52,2.38,1.13,0.87,0.31,2.07,0.40,1.23,0.01,0.28,7.09,2.57,0.98,1.95,1.68,0.44,4.98,13.23,1.35,15.00,2.72,7.51,5.00,0.91,0.59,0.73,0.70,0.69,1.56,0.49,0.04,0.16,0.06,0.14,0.10,4.07,0.02,0.00,0.01,0.00,0.00,0.00,0.13,0.00,3.91,0.00,0.01
20101105 Dealing with a loved one's suffering.docx,1,13.94,87.90,40.60,43.77,63.05,21.81,12.62,3.39,1.54,4.17,1.68,1.84,9.18,5.45,11.88,11.28,8.74,9.20,2.40,21.33,3.67,1.59,3.16,0.83,2.39,6.78,3.86,2.87,0.31,0.44,1.12,16.09,0.60,0.21,1.05,1.37,14.49,2.93,2.03,1.69,4.11,1.82,4.27,2.44,1.06,0.77,0.36,2.69,0.49,1.37,0.10,0.25,7.69,3.04,0.88,2.41,1.25,0.57,4.32,14.94,1.14,12.35,2.34,5.31,4.98,1.01,0.44,0.46,0.28,1.08,0.38,0.80,0.04,0.17,0.25,0.27,0.07,4.81,0.02,0.00,0.00,0.00,0.00,0.00,0.07,0.00,4.72,0.00,0.00
20101126 Forms of love in Buddhism.docx,1,16.85,92.02,39.80,80.75,61.91,22.43,12.80,3.33,0.81,6.14,1.25,1.27,9.61,6.02,11.28,10.79,7.72,8.26,2.49,19.68,3.79,1.52,3.31,1.13,1.97,6.99,5.01,1.98,0.43,0.40,0.24,17.27,0.71,0.38,0.81,1.03,14.13,2.59,2.15,1.85,2.94,2.07,4.32,2.61,1.02,1.01,0.40,3.15,0.67,0.87,0.12,0.21,8.57,3.79,0.97,2.03,1.30,0.90,3.63,14.32,1.22,12.32,1.99,5.61,4.84,0.66,0.50,0.41,0.37,1.20,0.09,0.35,0.02,0.02,0.13,0.14,0.04,4.75,0.01,0.09,0.01,0.00,0.00,0.00,0.14,0.00,4.39,0.00,0.11
20101203 Putting meaning into life.docx,1,18.25,77.18,69.52,71.41,61.65,21.91,12.71,4.63,0.98,5.44,0.56,1.11,9.16,5.56,12.27,11.37,8.11,7.65,2.42,20.41,3.85,2.03,2.98,0.88,2.34,5.23,3.80,1.37,0.18,0.23,0.56,12.84,0.17,0.17,0.23,0.64,14.75,3.44,1.84,1.28,3.38,1.84,4.71,2.34,1.09,0.58,0.35,2.03,0.28,1.27,0.07,0.32,7.68,1.90,1.75,1.95,2.20,0.57,4.27,14.34,0.90,13.13,2.30,6.50,4.59,1.96,0.83,0.32,0.65,1.56,0.07,0.44,0.05,0.02,0.18,0.16,0.05,21.07,5.12,9.37,0.00,0.00,0.68,0.13,0.15,0.95,4.67,0.00,0.01
20101210 The four old men.docx,1,20.57,81.85,40.33,62.91,62.41,20.29,11.92,3.59,1.61,3.51,2.19,1.01,8.35,6.55,11.93,10.66,8.54,9.20,2.25,19.60,4.01,1.45,2.67,1.22,2.15,6.93,4.43,2.47,0.33,0.72,0.31,14.10,0.50,0.36,1.07,1.77,13.88,2.93,1.74,1.76,3.10,1.81,4.26,2.90,0.83,1.53,0.43,1.59,0.33,0.92,0.03,0.21,8.31,3.06,1.34,2.02,1.75,0.73,5.76,12.15,0.97,12.71,2.03,5.98,4.85,1.63,0.78,0.52,0.73,0.72,0.27,0.47,0.02,0.08,0.12,0.15,0.09,4.08,0.01,0.00,0.00,0.00,0.00,0.00,0.13,0.00,3.94,0.00,0.00
20101217 Change.docx,1,23.12,85.00,57.46,61.16,61.26,19.85,11.16,2.48,2.21,3.97,1.44,1.07,8.68,6.51,11.76,10.33,8.17,9.10,2.05,18.89,3.93,1.76,2.85,1.16,2.53,5.58,3.65,1.79,0.23,0.41,0.47,13.00,0.28,0.18,0.17,1.61,16.40,3.50,3.08,1.60,3.60,2.34,4.25,2.32,0.97,0.84,0.34,1.48,0.18,0.99,0.11,0.09,7.79,3.19,1.07,1.81,1.69,0.47,4.73,12.93,1.48,14.93,3.28,5.75,6.07,1.03,0.50,0.19,0.23,1.06,0.34,0.39,0.04,0.02,0.14,0.16,0.04,3.73,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,3.66,0.00,0.00
20101231 Creating Happiness for 2011.docx,1,17.29,82.36,59.85,76.62,59.84,21.31,13.04,4.42,0.94,4.87,1.76,1.05,8.27,5.45,10.62,9.79,8.28,8.95,1.88,20.58,4.33,1.76,2.75,1.16,2.37,6.10,4.41,1.66,0.30,0.28,0.38,13.93,0.22,0.28,0.71,1.61,13.23,3.13,1.96,1.26,3.03,1.29,4.12,2.78,0.86,1.31,0.48,2.08,0.59,1.07,0.04,0.30,5.70,1.63,1.12,1.59,1.31,0.31,5.37,12.99,1.50,13.84,2.78,5.48,5.75,1.37,1.07,0.13,0.40,1.53,0.13,1.10,0.03,0.21,0.36,0.30,0.18,4.15,0.07,0.00,0.04,0.00,0.00,0.00,0.17,0.00,3.87,0.00,0.00
20110107 The winners and the losers .docx,1,16.89,85.01,40.06,57.26,60.35,20.25,12.08,3.18,1.47,4.64,1.46,1.32,8.15,6.68,10.36,11.24,8.86,8.62,2.43,20.77,4.17,1.89,3.45,1.17,2.68,7.83,4.74,3.08,0.42,0.16,1.60,13.61,0.18,0.17,0.72,1.11,12.83,2.68,1.98,1.30,2.56,1.88,3.72,2.33,1.02,0.75,0.36,1.77,0.18,1.15,0.04,0.25,9.45,2.38,4.36,3.13,3.17,0.93,5.35,13.88,1.12,12.67,2.02,5.06,5.75,1.60,1.37,0.15,0.43,0.78,0.23,0.93,0.02,0.22,0.36,0.24,0.06,4.79,0.00,0.00,0.02,0.00,0.00,0.00,0.12,0.00,4.64,0.00,0.01
20110121 Living with non-buddhists.docx,1,17.31,86.20,45.04,69.31,61.97,21.65,13.38,3.79,1.25,5.07,1.90,1.37,8.23,5.86,11.77,10.79,7.94,8.76,2.62,20.77,4.29,2.04,2.52,1.06,2.33,5.28,3.78,1.47,0.19,0.45,0.10,15.39,0.30,0.35,0.55,1.84,14.00,2.88,1.94,1.80,3.17,1.66,4.29,2.35,0.72,1.30,0.27,1.67,0.30,0.69,0.01,0.55,7.70,2.53,1.06,2.26,1.59,0.61,5.24,13.87,1.30,12.99,2.45,5.75,5.00,1.63,0.84,0.19,0.50,2.10,0.15,0.57,0.13,0.02,0.19,0.21,0.05,4.33,0.01,0.01,0.02,0.00,0.00,0.00,0.06,0.00,4.23,0.00,0.00
20110204 Wisdom and Stupidity.docx,1,21.33,87.16,37.75,67.31,62.63,20.64,11.02,2.45,1.30,4.45,1.61,1.22,9.62,6.70,11.89,11.77,7.53,8.19,2.54,20.29,4.73,2.09,3.44,0.85,2.57,6.72,4.44,2.24,0.08,0.92,0.35,14.87,0.31,0.18,0.68,1.37,14.63,3.93,1.56,1.58,3.44,1.73,4.20,2.61,0.96,1.11,0.43,1.49,0.30,0.64,0.02,0.29,7.27,2.40,1.12,2.46,1.13,0.57,4.61,14.68,0.86,11.75,1.55,5.42,4.86,1.49,0.36,0.17,0.26,1.57,0.23,0.37,0.10,0.00,0.08,0.16,0.03,4.27,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.00,4.12,0.00,0.02
20110218 Why not us.docx,1,21.04,88.02,58.88,44.20,61.27,20.64,12.22,3.60,0.95,5.67,0.73,1.27,8.41,5.94,12.26,10.93,7.74,9.07,2.04,20.94,3.92,1.69,3.83,1.26,2.33,5.99,3.49,2.48,1.01,0.34,0.35,14.59,0.30,0.24,0.40,0.82,13.60,3.53,2.30,1.41,3.03,1.46,3.75,3.21,1.26,0.95,0.55,2.62,0.43,1.33,0.04,0.52,6.43,2.27,1.04,1.88,1.32,0.50,4.49,14.96,1.53,13.60,2.62,5.72,5.35,1.28,0.67,0.25,0.47,0.94,0.08,0.77,0.07,0.20,0.25,0.22,0.04,4.30,0.00,0.00,0.01,0.00,0.00,0.00,0.12,0.00,4.16,0.00,0.01
20110304 Instead of attachment.docx,1,13.57,84.46,46.91,59.23,62.67,22.51,13.28,3.84,1.27,5.01,1.55,1.61,9.16,5.30,10.75,12.10,7.63,7.64,2.52,21.18,3.53,1.48,3.44,0.90,2.41,5.28,3.51,1.75,0.44,0.18,0.44,14.18,0.44,0.25,0.65,1.36,12.88,2.28,1.88,1.19,3.22,1.74,3.97,2.04,0.94,0.62,0.32,1.76,0.41,0.82,0.01,0.40,6.78,2.36,0.77,1.78,1.57,0.53,4.18,14.95,1.69,13.18,2.96,5.29,5.17,1.02,0.70,0.41,0.66,0.95,0.69,0.57,0.00,0.04,0.33,0.18,0.06,14.06,6.10,3.57,0.00,0.44,0.48,0.11,0.18,0.08,3.07,0.02,0.00
20110311 Hissing but not biting.docx,1,16.94,82.21,50.55,35.44,62.82,20.74,12.82,3.85,1.25,4.94,1.47,1.30,7.92,6.11,11.85,10.56,8.82,9.76,2.42,19.60,4.37,1.92,2.25,0.91,2.27,5.90,3.20,2.65,0.15,0.84,0.32,13.89,0.07,0.18,0.23,1.53,13.77,3.08,1.64,1.60,3.18,1.46,4.53,1.73,0.66,0.70,0.33,1.18,0.21,0.53,0.18,0.24,8.22,1.93,0.97,2.76,1.91,1.06,4.73,13.45,1.08,12.70,1.90,6.12,4.92,1.91,0.60,0.16,0.46,1.45,0.13,0.75,0.05,0.03,0.25,0.29,0.12,4.53,0.08,0.01,0.00,0.00,0.00,0.00,0.20,0.00,4.24,0.00,0.00
20110318 Irritation.docx,1,14.17,85.23,33.58,28.06,62.37,22.26,12.45,2.99,1.29,4.69,2.05,1.43,9.77,6.06,11.06,10.73,8.62,8.72,2.77,19.98,4.40,1.88,2.81,1.18,2.42,6.34,3.20,3.07,1.12,0.38,0.38,14.70,0.68,0.41,1.10,1.88,13.73,2.76,1.89,1.54,3.04,1.61,4.40,2.42,0.94,0.86,0.58,2.23,0.56,0.95,0.02,0.69,8.04,2.52,0.76,2.12,2.08,0.84,4.64,14.09,0.85,11.90,2.07,5.47,4.48,1.46,0.68,0.17,0.22,0.55,0.11,0.76,0.05,0.05,0.33,0.22,0.12,5.05,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.00,4.78,0.00,0.00
20110401 Trust.docx,1,17.96,93.97,39.88,64.47,60.20,21.12,13.13,3.45,1.88,4.94,0.58,2.28,7.96,5.27,11.17,10.47,7.68,8.59,2.36,20.72,4.23,1.88,2.92,1.57,2.80,8.87,5.44,3.40,0.73,0.57,0.47,18.71,0.55,0.30,0.34,0.76,16.40,3.30,2.65,2.57,4.19,1.77,4.16,2.33,0.59,1.09,0.55,1.69,0.22,0.98,0.07,0.28,10.98,3.00,1.32,2.75,1.92,2.90,3.99,16.95,1.03,11.71,1.81,5.86,4.30,1.64,0.54,0.31,0.15,0.59,0.11,0.72,0.02,0.10,0.32,0.20,0.08,4.47,0.00,0.05,0.02,0.00,0.00,0.00,0.12,0.00,4.24,0.00,0.05
20110408 What happens after you die.docx,1,28.25,83.98,43.40,62.54,59.21,20.78,11.45,2.93,0.56,4.66,1.95,1.35,9.31,6.29,12.31,11.55,6.46,6.45,2.36,21.15,4.50,1.72,3.30,1.30,2.58,6.46,4.16,2.22,0.44,0.40,0.34,13.54,0.17,0.46,0.62,1.90,12.48,2.95,2.03,1.17,2.80,1.63,3.45,3.57,1.36,1.04,0.75,3.17,1.29,1.75,0.03,0.06,5.94,1.04,1.03,1.82,1.85,0.53,5.60,13.54,1.20,13.80,1.97,5.79,6.29,1.58,0.83,0.17,0.28,1.00,1.26,0.58,0.10,0.01,0.24,0.19,0.04,22.44,8.58,7.33,0.01,0.00,0.38,0.11,0.22,0.96,4.85,0.00,0.00
20110415 Understanding argument.docx,1,15.61,87.86,52.13,47.53,61.29,21.36,12.53,3.54,2.08,4.62,0.61,1.67,8.80,5.98,10.67,11.45,8.15,8.12,2.67,21.00,4.21,2.08,3.52,0.89,2.36,7.48,4.29,3.12,0.20,1.53,0.64,15.85,0.41,0.38,0.46,0.62,15.35,3.72,2.44,1.35,2.87,1.89,4.60,3.31,1.59,1.20,0.27,1.49,0.31,0.46,0.24,0.31,7.97,3.04,1.13,2.19,1.55,0.66,4.79,14.52,1.13,11.42,1.75,5.93,3.81,1.69,0.44,0.09,0.21,1.16,0.41,0.72,0.06,0.05,0.39,0.19,0.04,4.85,0.02,0.00,0.00,0.00,0.00,0.00,0.18,0.00,4.64,0.00,0.01
20110506 What do you want.docx,1,20.51,77.68,35.85,66.59,61.53,21.14,12.80,4.61,1.08,4.02,1.99,1.10,8.32,6.39,11.25,10.16,8.48,8.25,2.09,20.61,4.09,1.98,3.46,1.57,2.61,4.85,3.49,1.33,0.17,0.44,0.18,13.86,0.30,0.13,1.30,1.18,14.50,2.56,1.70,2.98,3.18,1.23,4.62,2.53,1.28,0.89,0.31,1.78,0.23,1.02,0.01,0.39,6.14,1.95,1.02,1.81,1.48,0.23,5.60,13.62,1.00,12.00,1.64,5.43,5.04,1.32,0.80,0.45,0.86,1.04,0.12,0.76,0.02,0.13,0.19,0.32,0.10,3.65,0.02,0.00,0.01,0.00,0.00,0.00,0.06,0.00,3.49,0.00,0.06
20110513 F is for forgiveness.docx,1,20.44,85.15,43.58,15.75,61.75,21.33,11.87,3.50,1.23,3.79,1.85,1.49,9.43,6.60,11.15,10.53,7.75,8.61,2.04,19.64,4.15,1.81,3.60,1.19,2.25,7.57,3.39,4.10,0.47,1.28,0.56,14.68,0.57,0.14,0.43,2.30,14.04,3.83,2.20,1.74,2.90,1.56,3.69,2.85,0.84,0.71,1.14,1.98,0.45,1.11,0.02,0.25,7.55,2.10,0.98,2.52,1.25,1.00,6.41,12.03,1.02,12.62,1.93,5.42,5.44,1.71,0.74,0.25,0.37,0.91,0.37,0.62,0.05,0.15,0.14,0.24,0.02,3.17,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,3.11,0.00,0.00
20110520 No fear.docx,1,14.55,79.81,45.44,30.70,63.10,21.24,12.11,3.53,0.69,4.77,1.77,1.35,9.11,5.59,11.73,11.53,8.79,9.09,2.40,21.28,4.71,1.90,3.17,1.11,2.13,6.93,3.58,3.29,1.53,0.32,0.42,13.47,0.19,0.19,0.75,1.40,13.91,3.10,2.20,1.38,3.19,1.20,4.60,2.76,0.86,1.11,0.60,2.26,0.60,1.40,0.00,0.23,5.29,1.16,0.97,1.59,1.39,0.58,5.17,14.08,1.35,12.22,2.26,5.31,4.76,0.83,0.53,0.19,0.43,1.12,0.26,1.15,0.04,0.23,0.24,0.51,0.15,4.32,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.00,4.13,0.00,0.03
20110527 In between.docx,1,18.93,85.23,52.37,59.84,62.48,20.88,12.26,3.28,1.39,4.99,1.29,1.31,8.58,6.37,11.99,12.30,8.05,7.82,2.59,21.77,3.44,1.87,3.40,1.03,2.55,6.36,4.06,2.26,0.37,0.50,0.62,13.67,0.25,0.19,0.53,1.07,12.88,2.92,1.81,1.58,2.94,1.75,3.66,2.59,0.92,0.94,0.42,2.50,0.25,1.58,0.01,0.42,7.19,2.59,1.00,1.71,1.55,0.65,4.40,15.62,1.61,14.36,2.45,5.73,6.29,1.49,0.52,0.16,0.41,0.83,0.48,1.00,0.05,0.37,0.26,0.26,0.04,5.29,0.03,0.00,0.02,0.00,0.00,0.00,0.17,0.00,5.06,0.00,0.01
20110603 Buddism and Bananas.docx,1,23.49,85.13,56.58,59.81,60.98,19.95,11.79,2.94,1.34,4.25,0.88,2.37,8.09,6.54,12.13,10.26,8.34,9.01,2.17,20.06,3.86,1.85,2.78,1.22,2.72,4.84,3.31,1.52,0.20,0.22,0.32,13.76,0.41,0.18,0.37,1.12,13.50,2.98,1.84,1.41,3.07,1.86,3.82,2.39,0.89,0.85,0.32,1.94,0.41,0.60,0.02,0.77,8.20,2.42,0.97,2.33,2.22,0.57,4.99,13.61,1.07,14.54,2.45,6.43,5.85,1.81,0.66,0.20,0.28,2.02,0.40,0.67,0.01,0.17,0.32,0.13,0.04,4.45,0.01,0.00,0.02,0.00,0.00,0.00,0.13,0.00,4.28,0.00,0.00
20110617 Why do people do bad things.docx,1,24.93,81.74,32.41,18.59,61.43,18.78,10.07,2.13,1.29,3.15,2.08,1.41,8.70,7.21,11.52,10.98,8.12,8.92,2.34,19.65,4.34,2.18,2.90,1.06,2.27,5.46,2.46,2.95,0.20,1.01,0.17,13.42,0.34,0.14,0.15,2.54,14.39,2.79,2.91,1.81,3.02,1.38,4.28,2.00,0.70,0.99,0.24,1.40,0.44,0.56,0.04,0.38,8.35,2.21,0.75,2.28,2.11,1.28,5.10,13.14,0.92,12.95,2.51,6.23,4.34,1.33,1.06,0.36,0.32,0.88,0.29,0.50,0.06,0.04,0.17,0.12,0.12,4.08,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00,3.92,0.00,0.00
20110701 Sex and booze.docx,1,16.55,79.08,41.57,35.18,61.49,20.66,11.44,3.19,0.87,4.09,1.65,1.65,9.22,5.53,11.58,10.79,8.50,9.27,2.45,20.57,3.71,1.65,2.61,1.53,2.73,5.53,3.01,2.47,0.69,0.32,0.55,13.77,0.21,0.19,0.48,1.51,15.21,3.19,2.23,1.91,3.68,1.44,5.00,2.46,0.83,0.91,0.53,2.00,0.33,0.94,0.11,0.90,7.56,1.71,1.22,2.10,1.92,1.18,5.19,13.97,0.77,11.90,2.15,5.49,4.45,1.42,1.34,0.27,0.35,1.04,0.29,0.70,0.02,0.05,0.34,0.24,0.03,4.72,0.10,0.02,0.03,0.00,0.00,0.00,0.12,0.00,4.44,0.00,0.01
20110708 Motivation.docx,1,24.57,83.12,52.39,58.44,61.29,20.32,11.43,3.45,0.62,5.24,0.77,1.35,8.85,6.55,12.10,10.38,8.41,8.47,1.64,19.81,3.84,2.10,3.05,1.22,2.69,5.64,3.64,1.91,0.22,0.49,0.32,13.33,0.27,0.27,0.23,1.00,14.92,3.72,3.24,1.82,3.21,1.19,4.44,1.64,0.77,0.49,0.33,1.37,0.22,0.83,0.10,0.22,8.58,1.53,2.37,2.49,2.23,0.57,4.45,14.22,0.75,12.33,1.91,5.85,4.86,3.09,0.37,0.33,0.59,0.72,0.39,0.49,0.06,0.00,0.19,0.20,0.04,4.13,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,3.95,0.00,0.04
20110715 Uncertainty.docx,1,17.49,80.22,49.46,42.69,60.96,21.43,11.36,3.41,1.41,4.68,0.88,0.97,10.08,5.68,11.56,11.99,7.37,7.35,3.13,22.05,4.21,1.86,3.10,1.04,2.15,6.43,3.65,2.71,0.67,0.67,0.28,12.97,0.31,0.22,0.42,0.90,14.96,2.70,2.18,1.49,3.72,2.31,3.99,2.14,0.79,0.95,0.24,1.53,0.20,1.04,0.03,0.14,7.80,2.16,1.55,2.10,1.89,0.68,4.22,16.53,1.93,13.19,2.67,5.43,5.24,1.37,0.46,0.40,0.31,0.77,0.48,1.17,0.03,0.08,0.81,0.18,0.06,5.47,0.04,0.00,0.02,0.00,0.00,0.00,0.06,0.00,5.35,0.00,0.00
20111007 Anger eating demons.docx,1,18.46,84.90,43.36,30.43,60.46,21.82,12.36,3.81,1.10,4.78,1.27,1.39,9.44,6.29,10.67,10.79,7.47,8.12,2.28,21.19,4.74,1.96,2.99,1.08,2.50,7.15,3.69,3.41,0.46,0.88,0.29,14.50,0.28,0.36,0.20,1.44,14.24,3.35,2.31,1.62,3.11,1.68,3.95,2.94,1.26,1.09,0.34,1.84,0.32,0.96,0.11,0.40,7.64,2.05,0.90,2.23,1.55,1.14,5.81,13.64,1.31,11.78,2.05,5.69,4.26,1.15,0.46,0.40,0.25,0.95,0.38,0.67,0.02,0.06,0.29,0.24,0.06,4.50,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,4.32,0.00,0.01
20111104 Only the body is sick .docx,1,13.92,78.66,46.48,48.77,61.35,21.43,12.44,4.13,1.28,4.25,1.89,0.89,8.98,5.72,10.63,11.31,8.96,8.18,2.58,21.21,4.89,1.60,2.94,1.12,2.43,7.41,4.27,3.03,0.38,0.40,0.32,13.82,0.25,0.16,0.81,1.61,14.22,2.81,1.89,1.88,2.75,1.65,4.68,2.96,0.96,1.36,0.60,4.12,0.49,3.28,0.00,0.32,6.43,1.95,0.73,1.89,1.61,0.59,5.42,14.21,1.02,12.62,2.19,5.25,5.31,1.17,0.59,0.33,0.18,0.71,0.45,0.70,0.02,0.14,0.33,0.18,0.07,4.60,0.05,0.00,0.01,0.00,0.00,0.00,0.25,0.00,4.28,0.00,0.00
20111125 Friendship.docx,1,22.28,88.02,54.67,77.87,61.01,20.65,12.81,3.98,1.01,5.32,1.24,1.26,7.81,6.30,11.89,10.41,8.33,8.25,2.19,20.58,3.81,1.73,2.26,1.53,2.28,5.30,4.03,1.20,0.24,0.19,0.19,15.75,0.45,1.53,0.87,1.15,12.87,2.36,1.85,1.58,3.12,1.61,4.09,2.21,0.66,1.15,0.37,2.15,0.89,0.50,0.00,0.71,7.74,2.92,0.77,2.14,1.78,0.53,4.77,14.29,1.76,14.09,2.66,5.57,6.07,1.09,0.70,0.60,0.83,0.85,0.32,0.91,0.06,0.06,0.39,0.30,0.10,4.94,0.01,0.00,0.04,0.00,0.00,0.00,0.27,0.00,4.59,0.00,0.03
20111209 Bringing up children .docx,1,18.63,94.82,37.04,75.36,59.98,21.36,14.13,3.47,0.80,4.70,2.82,2.33,7.21,5.29,11.23,10.54,7.75,8.13,2.16,21.29,3.76,1.32,2.63,1.33,2.22,6.38,4.50,1.83,0.32,0.55,0.15,20.45,1.99,0.35,1.13,3.80,14.52,3.70,1.88,2.09,3.63,1.44,3.97,2.39,0.69,1.30,0.32,1.36,0.28,0.63,0.04,0.16,8.71,2.37,1.16,3.32,1.76,0.64,6.06,13.41,1.20,12.79,1.93,5.85,5.11,1.90,0.47,0.45,0.61,1.02,0.07,1.14,0.07,0.09,0.49,0.45,0.03,19.81,7.81,6.97,0.00,0.00,0.91,0.00,0.00,0.00,4.03,0.00,0.09
20120106 Kamma without belief.docx,1,17.44,81.83,46.39,28.59,61.53,20.63,11.19,3.40,1.02,4.79,0.86,1.13,9.42,6.07,11.56,12.10,8.79,7.60,2.58,21.14,4.57,1.71,3.01,1.02,2.36,7.36,3.74,3.58,0.52,0.77,0.20,13.17,0.41,0.18,0.41,0.77,15.50,3.32,2.49,2.01,3.83,1.94,3.87,2.07,0.91,0.51,0.43,2.58,0.37,1.78,0.06,0.25,7.73,1.88,1.33,2.01,1.60,1.35,4.13,16.07,1.30,12.74,1.69,5.90,5.22,1.81,0.55,0.20,0.29,1.03,0.19,0.74,0.04,0.03,0.36,0.24,0.07,5.18,0.00,0.01,0.00,0.00,0.00,0.00,0.15,0.00,4.96,0.00,0.06
"20120113 One life, many lives.docx",1,21.21,83.98,55.42,68.88,61.07,20.28,11.26,2.81,1.45,4.23,1.76,1.02,8.99,6.49,11.38,11.37,8.38,7.84,2.13,20.29,4.22,1.97,2.67,1.53,2.72,4.20,3.22,0.94,0.24,0.11,0.27,13.50,0.40,0.10,1.20,1.05,13.97,3.32,1.82,1.53,3.37,1.48,4.29,2.72,1.15,0.97,0.34,1.78,0.51,0.93,0.01,0.18,6.29,2.27,0.80,1.95,1.34,0.24,4.94,14.07,1.45,14.69,2.54,6.18,6.00,0.83,0.36,0.42,0.56,0.72,1.10,0.56,0.01,0.03,0.35,0.13,0.04,4.28,0.01,0.00,0.00,0.00,0.00,0.00,0.16,0.00,4.11,0.00,0.00
20120518 What to do when everything falls apart.docx,1,19.42,86.79,39.80,27.59,60.75,19.83,11.10,2.21,1.07,4.32,2.12,1.38,8.70,6.41,11.21,11.50,7.96,8.64,2.71,21.95,3.98,1.75,3.01,0.94,2.19,6.16,3.11,3.00,0.46,0.66,0.35,14.22,0.20,0.39,0.37,2.35,13.72,2.80,1.99,2.10,3.12,2.10,3.52,2.37,0.72,1.15,0.24,1.94,0.23,1.30,0.00,0.40,7.53,1.42,1.13,2.27,1.82,1.40,5.13,15.07,2.19,15.14,2.82,5.98,6.44,1.16,0.44,0.14,0.33,0.57,0.48,0.97,0.01,0.05,0.45,0.38,0.10,4.76,0.04,0.00,0.02,0.00,0.00,0.00,0.08,0.00,4.55,0.00,0.07
20121002 Wanting for nothing.docx,1,28.08,89.21,31.99,71.59,60.72,19.79,12.32,3.09,0.85,5.67,1.54,1.17,7.40,7.26,11.96,10.93,7.07,8.27,2.23,20.87,4.66,1.94,3.28,1.40,2.63,4.97,3.70,1.26,0.40,0.16,0.26,14.92,0.48,0.55,1.35,1.26,13.15,2.58,1.79,2.69,2.87,1.60,3.68,1.79,1.01,0.55,0.20,1.69,0.41,0.66,0.02,0.48,7.29,2.16,1.09,1.92,1.99,0.61,4.30,15.15,1.66,13.08,2.73,5.31,5.20,1.33,0.65,0.87,1.18,0.99,0.03,0.51,0.06,0.02,0.20,0.17,0.07,4.08,0.00,0.02,0.00,0.00,0.00,0.00,0.07,0.00,3.95,0.00,0.03
20130208 What path to take in life.docx,1,29.47,83.59,40.92,69.57,59.58,18.70,9.93,2.37,1.36,4.12,1.20,0.88,8.75,6.73,11.99,10.59,7.91,7.65,2.36,19.40,4.10,1.84,2.94,1.27,2.56,5.13,3.69,1.36,0.28,0.22,0.39,13.18,0.35,0.19,0.91,0.76,14.04,2.85,2.38,1.72,3.25,1.39,4.13,1.82,0.51,0.82,0.44,1.51,0.23,1.15,0.04,0.08,9.39,2.59,2.25,2.84,2.01,0.55,4.17,14.18,1.12,13.18,2.19,6.58,4.56,3.68,0.56,0.60,0.98,1.35,0.20,0.55,0.03,0.03,0.34,0.11,0.03,3.73,0.00,0.01,0.00,0.00,0.00,0.00,0.11,0.00,3.58,0.00,0.03
20130322 Right speech.docx,1,20.82,87.59,37.59,74.94,59.84,20.25,11.70,3.12,1.15,4.98,1.21,1.24,8.50,5.96,11.34,10.51,7.76,8.71,2.40,19.53,4.94,2.39,2.63,1.60,2.57,6.69,4.63,1.99,0.21,0.46,0.41,15.46,0.38,0.42,0.48,1.35,13.78,2.76,2.01,1.85,3.21,1.44,4.48,3.03,0.95,1.71,0.34,1.31,0.30,0.81,0.06,0.07,8.54,2.46,1.53,2.38,2.06,0.70,4.59,13.59,1.08,11.81,1.92,5.39,4.72,2.19,0.46,0.10,0.55,1.12,0.19,0.89,0.05,0.03,0.33,0.42,0.08,4.24,0.02,0.07,0.01,0.00,0.00,0.00,0.20,0.00,3.93,0.00,0.01
